"id","metric","value","yr","n_pixels"
1,"area",0.54,1996,68012
2,"area",0.54,1996,68012
3,"area",0.27,1996,68012
4,"area",0.9,1996,68012
5,"area",0.27,1996,68012
6,"area",0.72,1996,68012
7,"area",1.89,1996,68012
8,"area",0.09,1996,68012
9,"area",0.72,1996,68012
10,"area",1.89,1996,68012
11,"area",0.63,1996,68012
12,"area",0.09,1996,68012
13,"area",0.18,1996,68012
14,"area",0.09,1996,68012
15,"area",0.27,1996,68012
16,"area",0.27,1996,68012
17,"area",0.72,1996,68012
18,"area",0.54,1996,68012
19,"area",0.09,1996,68012
20,"area",1.89,1996,68012
21,"area",1.8,1996,68012
22,"area",0.45,1996,68012
23,"area",0.18,1996,68012
24,"area",0.63,1996,68012
25,"area",0.18,1996,68012
26,"area",1.89,1996,68012
27,"area",3.69,1996,68012
28,"area",0.81,1996,68012
29,"area",0.09,1996,68012
30,"area",0.9,1996,68012
31,"area",2.7,1996,68012
32,"area",2.07,1996,68012
33,"area",0.09,1996,68012
34,"area",0.72,1996,68012
35,"area",0.36,1996,68012
36,"area",4.86,1996,68012
37,"area",0.36,1996,68012
38,"area",2.16,1996,68012
39,"area",1.62,1996,68012
40,"area",0.09,1996,68012
41,"area",5.49,1996,68012
42,"area",0.45,1996,68012
43,"area",0.18,1996,68012
44,"area",5.13,1996,68012
45,"area",2.61,1996,68012
46,"area",0.09,1996,68012
47,"area",0.18,1996,68012
48,"area",1.71,1996,68012
49,"area",0.09,1996,68012
50,"area",0.09,1996,68012
51,"area",668.34,1996,68012
52,"area",3.06,1996,68012
53,"area",0.81,1996,68012
54,"area",0.27,1996,68012
55,"area",0.9,1996,68012
56,"area",0.36,1996,68012
57,"area",0.18,1996,68012
58,"area",0.09,1996,68012
59,"area",0.09,1996,68012
60,"area",0.72,1996,68012
61,"area",2.16,1996,68012
62,"area",1.89,1996,68012
63,"area",0.72,1996,68012
64,"area",0.81,1996,68012
65,"area",0.36,1996,68012
66,"area",0.09,1996,68012
67,"area",0.18,1996,68012
68,"area",0.18,1996,68012
69,"area",0.81,1996,68012
70,"area",0.72,1996,68012
71,"area",0.09,1996,68012
72,"area",0.18,1996,68012
73,"area",0.18,1996,68012
74,"area",0.09,1996,68012
75,"area",0.18,1996,68012
76,"area",0.27,1996,68012
77,"area",0.54,1996,68012
78,"area",0.27,1996,68012
79,"area",0.36,1996,68012
80,"area",0.63,1996,68012
81,"area",0.09,1996,68012
82,"area",1.26,1996,68012
83,"area",0.18,1996,68012
84,"area",8.73,1996,68012
85,"area",0.18,1996,68012
86,"area",0.09,1996,68012
87,"area",0.81,1996,68012
88,"area",0.27,1996,68012
89,"area",0.18,1996,68012
90,"area",0.09,1996,68012
91,"area",0.36,1996,68012
92,"area",0.18,1996,68012
93,"area",0.36,1996,68012
94,"area",0.09,1996,68012
95,"area",0.36,1996,68012
96,"area",0.18,1996,68012
97,"area",0.09,1996,68012
98,"area",0.27,1996,68012
99,"area",0.36,1996,68012
100,"area",0.72,1996,68012
101,"area",0.09,1996,68012
102,"area",0.18,1996,68012
103,"area",0.45,1996,68012
104,"area",0.09,1996,68012
105,"area",0.18,1996,68012
106,"area",0.9,1996,68012
107,"area",0.09,1996,68012
108,"area",1.17,1996,68012
109,"area",0.54,1996,68012
110,"area",1.71,1996,68012
111,"area",0.27,1996,68012
112,"area",11.16,1996,68012
113,"area",0.27,1996,68012
114,"area",0.54,1996,68012
115,"area",0.36,1996,68012
116,"area",6.03,1996,68012
117,"area",0.09,1996,68012
118,"area",0.09,1996,68012
119,"area",0.09,1996,68012
120,"area",0.09,1996,68012
121,"area",0.09,1996,68012
122,"area",0.09,1996,68012
123,"area",0.09,1996,68012
124,"area",36.18,1996,68012
125,"area",6.93,1996,68012
126,"area",1.62,1996,68012
127,"area",5.94,1996,68012
128,"area",0.09,1996,68012
129,"area",0.18,1996,68012
130,"area",0.36,1996,68012
131,"area",0.09,1996,68012
132,"area",0.63,1996,68012
133,"area",0.09,1996,68012
134,"area",0.18,1996,68012
135,"area",45.99,1996,68012
136,"area",0.09,1996,68012
137,"area",1.98,1996,68012
138,"area",5.31,1996,68012
139,"area",0.09,1996,68012
140,"area",0.09,1996,68012
141,"area",5.13,1996,68012
142,"area",0.27,1996,68012
143,"area",0.9,1996,68012
144,"area",0.27,1996,68012
145,"area",0.54,1996,68012
146,"area",0.09,1996,68012
147,"area",0.09,1996,68012
148,"area",0.09,1996,68012
149,"area",0.18,1996,68012
150,"area",0.09,1996,68012
151,"area",5.76,1996,68012
152,"area",0.09,1996,68012
153,"area",0.45,1996,68012
154,"area",3.33,1996,68012
155,"area",0.54,1996,68012
156,"area",0.18,1996,68012
157,"area",0.09,1996,68012
158,"area",0.09,1996,68012
159,"area",0.18,1996,68012
160,"area",0.63,1996,68012
161,"area",0.36,1996,68012
162,"area",2.97,1996,68012
163,"area",3.24,1996,68012
164,"area",0.09,1996,68012
165,"area",2.61,1996,68012
166,"area",0.36,1996,68012
167,"area",0.45,1996,68012
168,"area",0.18,1996,68012
169,"area",0.09,1996,68012
170,"area",3.96,1996,68012
171,"area",0.09,1996,68012
172,"area",0.36,1996,68012
173,"area",0.09,1996,68012
174,"area",0.45,1996,68012
175,"area",4.68,1996,68012
176,"area",13.5,1996,68012
177,"area",0.09,1996,68012
178,"area",1.44,1996,68012
179,"area",0.09,1996,68012
180,"area",1.62,1996,68012
181,"area",0.09,1996,68012
182,"area",0.09,1996,68012
183,"area",0.09,1996,68012
184,"area",0.09,1996,68012
185,"area",3.69,1996,68012
186,"area",0.09,1996,68012
187,"area",0.27,1996,68012
188,"area",0.63,1996,68012
189,"area",50.4,1996,68012
190,"area",0.09,1996,68012
191,"area",8.91,1996,68012
192,"area",3.51,1996,68012
193,"area",7.02,1996,68012
194,"area",1.26,1996,68012
195,"area",1.08,1996,68012
196,"area",0.9,1996,68012
197,"area",0.45,1996,68012
198,"area",0.45,1996,68012
199,"area",0.36,1996,68012
200,"area",0.09,1996,68012
201,"area",1.08,1996,68012
202,"area",0.09,1996,68012
203,"area",1.35,1996,68012
204,"area",2.16,1996,68012
205,"area",0.18,1996,68012
206,"area",0.09,1996,68012
207,"area",0.36,1996,68012
208,"area",14.49,1996,68012
209,"area",4.86,1996,68012
210,"area",2.52,1996,68012
211,"area",2.79,1996,68012
212,"area",0.09,1996,68012
213,"area",0.09,1996,68012
214,"area",0.09,1996,68012
215,"area",0.18,1996,68012
216,"area",0.18,1996,68012
217,"area",0.09,1996,68012
218,"area",0.54,1996,68012
219,"area",0.18,1996,68012
220,"area",0.09,1996,68012
221,"area",133.2,1996,68012
222,"area",0.09,1996,68012
223,"area",0.45,1996,68012
224,"area",0.18,1996,68012
225,"area",0.27,1996,68012
226,"area",0.09,1996,68012
227,"area",0.63,1996,68012
228,"area",5.13,1996,68012
229,"area",0.63,1996,68012
230,"area",0.63,1996,68012
231,"area",0.54,1996,68012
232,"area",0.09,1996,68012
233,"area",0.09,1996,68012
234,"area",0.09,1996,68012
235,"area",9.36,1996,68012
236,"area",0.27,1996,68012
237,"area",2.88,1996,68012
238,"area",46.17,1996,68012
239,"area",0.81,1996,68012
240,"area",0.09,1996,68012
241,"area",2.34,1996,68012
242,"area",0.09,1996,68012
243,"area",1.17,1996,68012
244,"area",0.09,1996,68012
245,"area",0.09,1996,68012
246,"area",0.09,1996,68012
247,"area",0.09,1996,68012
248,"area",0.18,1996,68012
249,"area",0.09,1996,68012
250,"area",0.18,1996,68012
251,"area",0.18,1996,68012
252,"area",2.07,1996,68012
253,"area",4.23,1996,68012
254,"area",0.45,1996,68012
255,"area",1.44,1996,68012
256,"area",0.54,1996,68012
257,"area",0.36,1996,68012
258,"area",0.09,1996,68012
259,"area",0.09,1996,68012
260,"area",0.9,1996,68012
261,"area",0.09,1996,68012
262,"area",0.09,1996,68012
263,"area",0.36,1996,68012
264,"area",1.17,1996,68012
265,"area",0.72,1996,68012
266,"area",1.26,1996,68012
267,"area",0.45,1996,68012
268,"area",4.95,1996,68012
269,"area",0.9,1996,68012
270,"area",3.51,1996,68012
271,"area",0.18,1996,68012
272,"area",4.59,1996,68012
273,"area",0.09,1996,68012
274,"area",0.09,1996,68012
275,"area",0.72,1996,68012
276,"area",0.09,1996,68012
277,"area",0.72,1996,68012
278,"area",0.27,1996,68012
279,"area",6.39,1996,68012
280,"area",194.58,1996,68012
281,"area",0.99,1996,68012
282,"area",0.18,1996,68012
283,"area",0.45,1996,68012
284,"area",0.09,1996,68012
285,"area",0.09,1996,68012
286,"area",0.18,1996,68012
287,"area",0.09,1996,68012
288,"area",0.45,1996,68012
289,"area",2.7,1996,68012
290,"area",0.09,1996,68012
291,"area",0.09,1996,68012
292,"area",0.99,1996,68012
293,"area",0.18,1996,68012
294,"area",0.63,1996,68012
295,"area",0.36,1996,68012
296,"area",0.09,1996,68012
297,"area",1.08,1996,68012
298,"area",0.09,1996,68012
299,"area",1.08,1996,68012
300,"area",0.09,1996,68012
301,"area",0.09,1996,68012
302,"area",0.9,1996,68012
303,"area",0.54,1996,68012
304,"area",1.26,1996,68012
305,"area",0.27,1996,68012
306,"area",0.27,1996,68012
307,"area",0.09,1996,68012
308,"area",0.18,1996,68012
309,"area",0.45,1996,68012
310,"area",0.9,1996,68012
311,"area",0.18,1996,68012
312,"area",0.18,1996,68012
313,"area",0.09,1996,68012
314,"area",0.09,1996,68012
315,"area",0.18,1996,68012
316,"area",2.16,1996,68012
317,"area",0.18,1996,68012
318,"area",0.09,1996,68012
319,"area",0.09,1996,68012
320,"area",0.18,1996,68012
321,"area",0.36,1996,68012
322,"area",18.36,1996,68012
323,"area",8.55,1996,68012
324,"area",0.63,1996,68012
325,"area",0.27,1996,68012
326,"area",0.45,1996,68012
327,"area",0.18,1996,68012
328,"area",0.18,1996,68012
329,"area",0.99,1996,68012
330,"area",0.18,1996,68012
331,"area",0.09,1996,68012
332,"area",0.81,1996,68012
333,"area",0.27,1996,68012
334,"area",0.09,1996,68012
335,"area",0.09,1996,68012
336,"area",0.45,1996,68012
337,"area",0.09,1996,68012
338,"area",2.79,1996,68012
339,"area",1.53,1996,68012
340,"area",0.09,1996,68012
341,"area",0.09,1996,68012
342,"area",0.27,1996,68012
343,"area",0.18,1996,68012
344,"area",0.45,1996,68012
345,"area",0.18,1996,68012
346,"area",0.18,1996,68012
347,"area",0.09,1996,68012
348,"area",0.27,1996,68012
349,"area",0.54,1996,68012
350,"area",0.45,1996,68012
351,"area",0.09,1996,68012
352,"area",0.9,1996,68012
353,"area",9.72,1996,68012
354,"area",0.45,1996,68012
355,"area",0.72,1996,68012
356,"area",0.09,1996,68012
357,"area",1.71,1996,68012
358,"area",0.09,1996,68012
359,"area",0.09,1996,68012
360,"area",0.18,1996,68012
361,"area",0.54,1996,68012
362,"area",0.09,1996,68012
363,"area",2.97,1996,68012
364,"area",4.05,1996,68012
365,"area",0.09,1996,68012
366,"area",0.09,1996,68012
367,"area",0.54,1996,68012
368,"area",0.09,1996,68012
369,"area",1.8,1996,68012
370,"area",0.09,1996,68012
371,"area",1.62,1996,68012
372,"area",0.27,1996,68012
373,"area",0.09,1996,68012
374,"area",6.21,1996,68012
375,"area",0.27,1996,68012
376,"area",0.18,1996,68012
377,"area",0.45,1996,68012
378,"area",0.09,1996,68012
379,"area",0.36,1996,68012
380,"area",0.09,1996,68012
381,"area",0.18,1996,68012
382,"area",0.27,1996,68012
383,"area",0.18,1996,68012
384,"area",0.9,1996,68012
385,"area",0.09,1996,68012
386,"area",0.09,1996,68012
387,"area",0.09,1996,68012
388,"area",0.9,1996,68012
389,"area",0.09,1996,68012
390,"area",2.07,1996,68012
391,"area",1.35,1996,68012
392,"area",0.27,1996,68012
393,"area",0.27,1996,68012
394,"area",1.08,1996,68012
395,"area",1.8,1996,68012
396,"area",0.63,1996,68012
397,"area",0.72,1996,68012
398,"area",164.7,1996,68012
399,"area",1.8,1996,68012
400,"area",0.09,1996,68012
401,"area",26.73,1996,68012
402,"area",0.18,1996,68012
403,"area",34.38,1996,68012
404,"area",0.18,1996,68012
405,"area",1.44,1996,68012
406,"area",0.36,1996,68012
407,"area",0.09,1996,68012
408,"area",0.09,1996,68012
409,"area",1.08,1996,68012
410,"area",0.09,1996,68012
411,"area",3359.79,1996,68012
412,"area",0.36,1996,68012
413,"area",0.18,1996,68012
414,"area",0.45,1996,68012
415,"area",0.09,1996,68012
416,"area",0.36,1996,68012
417,"area",0.09,1996,68012
418,"area",0.63,1996,68012
419,"area",1.08,1996,68012
420,"area",0.63,1996,68012
421,"area",0.45,1996,68012
422,"area",0.18,1996,68012
423,"area",0.9,1996,68012
424,"area",0.09,1996,68012
425,"area",0.81,1996,68012
426,"area",1.26,1996,68012
427,"area",0.09,1996,68012
428,"area",0.09,1996,68012
429,"area",7.47,1996,68012
430,"area",0.09,1996,68012
431,"area",0.18,1996,68012
432,"area",0.09,1996,68012
433,"area",0.09,1996,68012
434,"area",0.09,1996,68012
435,"area",0.18,1996,68012
436,"area",0.36,1996,68012
437,"area",0.18,1996,68012
438,"area",0.09,1996,68012
439,"area",0.18,1996,68012
440,"area",0.09,1996,68012
441,"area",0.18,1996,68012
442,"area",0.09,1996,68012
443,"area",1.53,1996,68012
444,"area",0.36,1996,68012
445,"area",0.09,1996,68012
446,"area",0.09,1996,68012
447,"area",0.09,1996,68012
448,"area",0.09,1996,68012
449,"area",0.09,1996,68012
450,"area",0.09,1996,68012
451,"area",0.36,1996,68012
452,"area",0.09,1996,68012
453,"area",0.09,1996,68012
454,"area",0.09,1996,68012
455,"area",0.09,1996,68012
456,"area",0.18,1996,68012
457,"area",0.45,1996,68012
458,"area",0.09,1996,68012
459,"area",0.72,1996,68012
460,"area",0.9,1996,68012
461,"area",45.63,1996,68012
462,"area",0.09,1996,68012
463,"area",0.36,1996,68012
464,"area",0.09,1996,68012
465,"area",0.9,1996,68012
466,"area",0.09,1996,68012
467,"area",0.09,1996,68012
468,"area",0.09,1996,68012
469,"area",0.09,1996,68012
470,"area",0.18,1996,68012
471,"area",0.27,1996,68012
472,"area",73.89,1996,68012
473,"area",0.09,1996,68012
474,"area",0.18,1996,68012
475,"area",1.26,1996,68012
476,"area",0.09,1996,68012
477,"area",0.45,1996,68012
478,"area",17.1,1996,68012
479,"area",0.09,1996,68012
480,"area",0.36,1996,68012
481,"area",0.09,1996,68012
482,"area",0.09,1996,68012
483,"area",0.36,1996,68012
484,"area",1.26,1996,68012
485,"area",0.09,1996,68012
486,"area",0.09,1996,68012
487,"area",0.09,1996,68012
488,"area",0.09,1996,68012
489,"area",4.86,1996,68012
490,"area",0.09,1996,68012
491,"area",0.09,1996,68012
492,"area",0.09,1996,68012
493,"area",0.36,1996,68012
494,"area",0.18,1996,68012
495,"area",0.27,1996,68012
496,"area",0.18,1996,68012
497,"area",0.09,1996,68012
498,"area",0.09,1996,68012
499,"area",0.09,1996,68012
500,"area",0.18,1996,68012
501,"area",2.16,1996,68012
502,"area",0.09,1996,68012
503,"area",2.79,1996,68012
504,"area",0.09,1996,68012
505,"area",0.18,1996,68012
506,"area",0.72,1996,68012
507,"area",0.27,1996,68012
508,"area",16.47,1996,68012
509,"area",0.09,1996,68012
510,"area",0.63,1996,68012
511,"area",9.54,1996,68012
512,"area",0.63,1996,68012
513,"area",0.18,1996,68012
514,"area",0.99,1996,68012
515,"area",0.09,1996,68012
516,"area",0.18,1996,68012
517,"area",0.18,1996,68012
518,"area",0.09,1996,68012
519,"area",0.09,1996,68012
520,"area",0.09,1996,68012
521,"area",0.09,1996,68012
522,"area",0.09,1996,68012
523,"area",0.09,1996,68012
524,"area",29.25,1996,68012
525,"area",0.18,1996,68012
526,"area",1.53,1996,68012
527,"area",1.08,1996,68012
528,"area",129.51,1996,68012
529,"area",0.09,1996,68012
530,"area",1.08,1996,68012
531,"area",0.09,1996,68012
532,"area",0.45,1996,68012
533,"area",1.8,1996,68012
534,"area",215.46,1996,68012
535,"area",2.07,1996,68012
536,"area",0.27,1996,68012
537,"area",0.27,1996,68012
538,"area",0.36,1996,68012
539,"area",4.14,1996,68012
540,"area",0.09,1996,68012
541,"area",0.18,1996,68012
542,"area",0.27,1996,68012
543,"area",0.09,1996,68012
544,"area",1.08,1996,68012
545,"area",0.27,1996,68012
546,"area",0.81,1996,68012
547,"area",48.06,1996,68012
548,"area",0.09,1996,68012
549,"area",0.63,1996,68012
550,"area",0.27,1996,68012
551,"area",0.27,1996,68012
552,"area",0.09,1996,68012
553,"area",0.18,1996,68012
554,"area",0.09,1996,68012
555,"area",0.09,1996,68012
556,"area",0.72,1996,68012
557,"area",2.16,1996,68012
558,"area",0.18,1996,68012
559,"area",0.18,1996,68012
560,"area",0.09,1996,68012
561,"area",0.18,1996,68012
562,"area",6.84,1996,68012
563,"area",0.09,1996,68012
564,"area",0.72,1996,68012
565,"area",0.36,1996,68012
566,"area",0.09,1996,68012
567,"area",1.17,1996,68012
568,"area",2.79,1996,68012
569,"area",0.27,1996,68012
570,"area",0.09,1996,68012
571,"area",0.18,1996,68012
572,"area",0.18,1996,68012
573,"area",0.27,1996,68012
574,"area",28.44,1996,68012
575,"area",0.09,1996,68012
576,"area",2.07,1996,68012
577,"area",25.65,1996,68012
578,"area",0.18,1996,68012
579,"area",0.45,1996,68012
580,"area",0.27,1996,68012
581,"area",0.09,1996,68012
582,"area",0.99,1996,68012
583,"area",1.89,1996,68012
584,"area",1.35,1996,68012
585,"area",209.52,1996,68012
586,"area",0.72,1996,68012
587,"area",0.09,1996,68012
588,"area",0.09,1996,68012
589,"area",0.09,1996,68012
590,"area",0.27,1996,68012
591,"area",0.09,1996,68012
592,"area",0.18,1996,68012
593,"area",0.18,1996,68012
